"","x"
"1",51.2306646905577
"2",73.5944957553833
"3",76.1386457482649
"4",48.7701845444981
"5",33.6787933362832
"6",66.8937241418573
"7",66.0235569105117
"8",68.645136240745
"9",79.8464602111667
"10",68.2614732234926
"11",46.3047717700833
"12",72.3890354211572
"13",57.0815696618972
"14",73.7782116081252
"15",65.0926779059241
"16",45.0944019879073
"17",79.3591522408146
"18",40.8881561839748
"19",28.0368045404289
"20",49.3331700305207
"21",53.4801921915935
"22",65.5718725233095
"23",17.3373617582221
"24",57.4347794824516
"25",61.5157509794438
"26",75.6272567057099
"27",92.6438103161937
"28",74.1328703209876
"29",91.0813137037207
"30",73.5745528488136
"31",65.4911330828206
